OR,OT
000181-17,"AN ORDINANCE ADOPTING/APPROVING THE DAVAO CITY DISASTER RISK REDUCTION AND MANAGEMENT FUND INVESTMENT PLAN (DCDRRMFIP) FOR CALENDAR YEAR 2017, AS PREPARED AND APPROVED BY THE DAVAO CITY DISASTER RISK REDUCTION AND MANAGEMENT COUNCIL IN THE AMOUNT OF TWO HUNDRED EIGHTY SIX MILLION TWO HUNDRED THOUSAND PESOS (P286,200,000.00)"
000182-17,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO ENTER INTO AND SIGN, FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO, THE MEMORANDUM OF AGREEMENT (MOA) TO BE ENTERED INTO BY AND BETWEEN THE CITY GOVERNMENT OF DAVAO AND THE TECHNICAL EDUCATION AND SKILLS DEVELOPMENT AUTHORITY (TESDA) RELATIVE TO THE IMPLEMENTATION OF THE BOTTOM-UP BUDGETING (BUB) PROGRAM ON SKILLS TRAINING"
000470-18,"An ordinance amending Section 3 (a) of Ordinance NO. 0410-10, otherwise known as the ""New Davao City Tricycle for Hire (TFH) Franchising and Regulatory Code of 2010"", amending City Ordinance No. 1692, Series of 1994"
000222-09,An Ordinance renaming Camilo Osias Elementary School to Dr. Jovito S. Francisco Elementary School
000197-09,"An ordinance further amending Ordinance No. 110, Series of 1986, otherwise known as ""The Davao City Overland Transport Terminal Ordinance"" particlarly Article 3, Section 8, Paragraph 5 (d) as amended by Ordinance No. 084-08, Series of 2008, by adjusting the rates therein"
000258-09,An ordinance prohibiting spitting in public places and providing penalties for violations thereof
000268-09,"An ordinance renaming Tomas D. Monteverde, Sr. Sports Complex (PTA Grounds) located along Camus Street, Barangay 4-A, Poblacion District, this City, as ""Peoples Park"""
000137-61,"An ordinance declaring June 29th of every year, a Special Public Holiday in the City of Davao, this day being its town fiesta"
000291-09,"AN ORDINANCE ADOPTING RESOLUTION NUMBER 18-009, SERIES OF 2009 OF THE MARKET COMMITTEE RELATIVE TO THE COMPROMISE AGREEMENT BETWEEN THE MARKET VENDORS IN ALL CITY-OWNED PUBLIC MARKETS IN THE CITY AND THE CITY GOVERNMENT OF DAVAO"
000098-08,"An Ordinance Amending the ""2005 Revenue Code of the City of Davao"" particularly the Civil Registry Fees prescribed under Article II, Sections 240, 241 & 242 of the said code"
000099-08,An ordinance establishing the International Relations Board of Davao City
000299-09,"An Ordinance amending Section 3 of Ordinance No. 115, Series of 1986, otherwise known as ""An Ordnance requiring persons and/or business establishments such as restaurants, food stalls and other related outlets serving barbecued meat such as pork, beef, fish or any food preparation needing the use of bamboo sticks or skewer s to remove the pointed sticks completely or cut their sharp ends before serving to customers, and providing penalties for violations thereof """
000298-09,"An ordinance for the proper harvesting, storage and utilization of rainwater in Davao City"
000311-09,"An ordinance amending Section 5 of Ordinance No. 143,, Series of 2005, otherwise known as ""An Ordinance prohibiting the  use of cellular phones, hand-held radios, Personal Digital Assistant (PDA) and other similar electronic devices whilde driving"
000335-10,An Ordinance creating the Women Health Care Clinic of Davao City
000160-08,"An Ordinance Amending Sections 218, 219, 220 and 388 of Ordinance No. 0158-05, otherwise known as the ""2005 Revenue Code of the City of Davao"""
000384-10,"AN ORDINANCE INSTITUTIONALIZING, PROMOTING AND DEVELOPING ORGANIC AGRICULTURE IN DAVAO CITY, PROVIDING FUNDS THEREFOR AND FOR OTHER PURPOSES"
000262-09,"An Ordinance approving the ""Code of Ordinances of Davao City"""
000052-10,ORDINANCE AUTHORIZING THE CITY MAYOR TO ENTER INTO AND SIGN FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO THE AMENDED MEMORANDUM OF AGREEMENT ON THE IMPLEMENTATION OF THE GROW MICRO PROGRAM – “MAGNEGOSYO TA DAY” PROJECT TO BE ENTERED INTO BY AND BETWEEN THE CITY GOVERNMENT OF DAVAO AND THE DEPARTMENT OF LABOR AND EMPLOYMENT (DOLE)
000331-10,"An Ordinance amending Section 3 of Ordinance No. 418, Series of 1983, otherwise known as ""An Ordniance requiring the owners of commercial buildings whose building permits were issued pursuant to the provisions of the  National Building Code, to provide sufficient lighting facilities at the aprking lots of said buildings and the posting of security guards thereat"""
000328-09,An Ordinance regulating the Tourism Industry in the City of Davao
000132-17,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO UTILIZE A PORTION OF THE THIRTY PERCENT (30%) QUICK RESPONSE FUND (QRF) OUT OF THE FIVE PERCENT (5%) DISASTER RISK REDUCTION AND MANAGEMENT FUND (CALAMITY FUND) OF THE CITY GOVERNMENT OF DAVAO FOR CALENDAR YEAR 2017, IN THE TOTAL AMOUNT OF THREE MILLION PESOS (P3,000,000.00), TO EXTEND ADDITIONAL FINANCIAL ASSISTANCE TO THE VICTIMS OF TYPHOON NINA THAT HIT THE PROVINCES OF QUEZON AND BATANGAS AND THE MUNICIPALITIES OF GASAN, BOAC, MOGPOG AND TORRIJOS, ALL OF MARINDUQUE PROVINCE"
000150-17,"AN ORDINANCE GRANTING LEGISLATIVE AUTHORITY TO EFB GEOSTRUCKT, INC. FOR THE CONSTRUCTION, INSTALLATION AND OPERATION OF GLOBE TELECOM`S 40.0 METER 3-LEGGED SELF SUPPORT CELL SITE TOWER AT SUBLI STREET, LANZONA SUBDIVISION, BARANGAY MATINA APLAYA, TALOMO DISTRICT, THIS CITY"
000151-17,"AN ORDINANCE GRANTING LEGISLATIVE AUTHORITY TO EFB GEOSTRUCKT, INC. FOR THE CONSTRUCTION, INSTALLATION AND OPERATION OF GLOBE TELECOM`S 40.0 METER 3 LEGGED SELF SUPPORT CELL SITE TOWER AT PUROK 41, YÑIGUEZ SUBDIVISION, BARANGAY MA-A, TALOMO DISTRICT,THIS CITY"
000152-17,"AN ORDINANCE REQUIRING ALL TELECOMMUNICATION COMPANIES, DAVAO LIGHT AND POWER COMPANY (DLPC) AND ALL OTHER PERSONS TO COMPLY WITH THE UNDERGROUND CABLING PLAN OF THE CITY OF DAVAO"
000433-10,"AN ORDINANCE ADOPTING RESOLUTION NO. 010-10, SERIES OF 2010, OF THE MARKET COMMITTEE BY AMENDING SECTION 3 OF ORDINANCE NO. 0291-09, SERIES OF 2009 ENTITLED, “AN ORDINANCE ADOPTING RESOLUTION NO. 18-009, SERIES OF 2009 OF THE MARKET COMMITTEE RELATIVE TO THE COMPROMISE AGREEMENT BETWEEN THE MARKET VENDORS IN ALL CITY-OWNED PUBLIC MARKETS IN THE CITY AND THE CITY GOVERNMENT OF DAVAO”"
000440-10,AN ORDINANCE AUTHORIZING THE ESTABLISHMENT OF A CREMATORIUM AT THE DAVAO CHINESE CEMETERY AND FOR OTHER PURPOSES
000445-10,An Ordinance prohibiting and penalizing the act of driving a motor vehicle while under the influence of liquor and/or prohibited drugs
000331-12,"An Ordinance amending Section 3 of Ordinance No. 099-08, Series of 2008, otherwise known as “An Ordinance establishing the International Relations Board of Davao City” as amended by Ordinance No. 0342-10, Series of 2010, otherwise known as an Ordinance amending Sections 3 and 4 of Ordinance No. 099-08"
000419-10,"An ordinance prohibiting the nailing, posting, hanging of streamers, posters and advertisements on trees in Davao City"
000096-13,"An ordinance authorizing the City Mayor to enter into and sign, for and in behalf of the City Government of Davao, the Memorandum of Agreement to be entered into by and between the City Government of Davao and Landbank of the Philippines for livelihood loan facility."
000027-10,"AN ORDINANCE AUTHORIZING  THE CITY MAYOR TO SIGN,  FOR AND IN BEHALF OF THE CITY OF DAVAO,  THE PROPOSED MEMORANDUM OF UNDERSTANDING TO BE ENTERED INTO BY AND AMONG THE CITY GOVERNMENT OF DAVAO AND THE CENTER FOR HEALTH DEVELOPMENT (CHD), DAVAO REGION, DAVAO DOCTORS PPMD CLINIC AND HEALTH MANAGEMENT AND RESEARCH GROUP FOUNDATION INC. FOR THE IMPLEMENTATION OF PROGRAMMATIC MANAGEMENT OF DRUG RESISTANT TUBERCULOSIS (PMDT) IN DAVAO CITY"
000026-10,"AN ORDINANCE AUTHORIZING  THE CITY MAYOR TO SIGN,  FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO,  THE MEMORANDUM OF UNDERSTANDING TO BE ENTERED INTO BY AND AMONG THE CENTER FOR HEALTH DEVELOPMENT (CHD), DAVAO REGION,  THE DEPARTMENT OF INTERIOR AND LOCAL GOVERNMENT, REGION XI (DILG-XI), THE BUREAU OF JAIL MANAGEMENT AND PENOLOGY (BJMP) AND THE CITY GOVERNMENT OF DAVAO,  RELATIVE TO THE IMPLEMENTATION OF DIRECTLY OBSERVED TREATMENT SHORT COURSE (DOTS) AT THE DAVAO CITY JAIL"
000342-12,"An Ordinance authorizing the City Mayor to enter into and sign, for and in behalf of the City Government  of Davao, the Memorandum of Agreement  (MOA) to be entered into by and between the City Government of Davao and the Department of Health, Center for Health Development (DOH--CHD) – Davao, relative to the development and implementation of the Unified Health Management Information System (UHMIS)"
000037-56,"An Ordinance regulating the establishment, maintenance and operation of bars in the City of Davao."
000253-06,"AN ORDINANCE AMENDING THE PROVISION OF SECTION 69, PARAGRAPH (D) OF DAVAO CITY ORDINANCE NO. 158-05, SERIES OF 2005 OTHERWISE KNOWN AS THE  “THE 2005 REVENUE CODE OF THE CITY OF DAVAO”"
000044-56,An Ordinance regulating the use of Municipal waters or other city property not otherwise needed for public use which may be used for log pond or for storage of logs and imposing a muniicipal license fee for the use thereof.
000381-82,"An Ordinance regulating the public showing of movie film, tapes or betamax films in public establishments in the City of Davao."
000046-10,"ORDINANCE GRANTING AUTHORITY TO THE CITY MAYOR TO GRANT PRODUCTIVITY ENHANCEMENT INCENTIVE (PEI) TO ALL PERSONNEL OF THE CITY GOVERNMENT OF DAVAO AUTHORIZED UNDER ADMINISTRATIVE ORDER (AO) NO. 3 OF THE OFFICE OF THE PRESIDENT DATED NOVEMBER 25, 2010, AND SHALL BE IMPLEMENTED IN ACCORDANCE WITH BUDGET CIRCULAR NO. 2010-3, CY 2010 OF THE DEPARTMENT OF BUDGET AND MANAGEMENT (DBM), CHARGEABLE AGAINST THE AVAILABLE SAVINGS FROM THE CURRENT OPERATING EXPENDITURE (COE) OF ALL CITY DEPARTMENTS AND OFFICES FOR CALENDAR YEAR 2010"
000048-10,"ORDINANCE AMENDING ORDINANCE NO. 0158-05, SERIES OF 2005, OTHERWISE KNOWN AS ""THE 2005 REVENUE CODE OF THE CITY OF DAVAO"" PARTICULARLY ARTICLE 30, SECTION 232 THEREOF, BY ADJUSTING, REDUCING AND/OR LOWERING THE RATES OF THE AMBULANT VENDING FEE (SPACE OCCUPIED PER SQUARE METER PER DAY) FROM ""TWENTY-FIVE PESOS (P25.00)"" PER SQUARE METER PER DAY TO ""FIFTEEN PESOS (P15.00)"" PER SQUARE METER PER DAY FOR THE PERIOD DECEMBER 7, 2010 TO JANUARY 2, 2011 ONLY IN CONNECTION WITH THE ""PASKO STREET MARKET"" ONE OF THE ACTIVITIES OF PASKO FIESTA SA DAVAO 2010"
000019-13,"An Ordinance authorizing the City Mayor to enter into and sign, for and in behalf of the City Government of Davao, the Memorandum of Understanding (MOU) to be entered into by and between the City Government of Davao and International Research Exchange (IREX) that aims to develop the City Library of Davao as a Center for Economic opportunity which will provide access to information and services for the people in the City of Davao"
000142-55,"An Ordinance defining nuisances, prohibiting the same  and punishing violations therefore and for other purposes."
000074-11,"An ordinance penalizing any person in actual or constructive possession of any dog found defecating upon another person`s private property or commonly-used properties such as roads, parks and playgrounds or on public properties"
000087-11,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO SIGN, FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO THE MEMORANDUM OF AGREEMENT TO BE ENTERED INTO BY AND BETWEEN THE CITY GOVERNMENT OF DAVAO AND THE DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT (DSWD) RELATIVE TO THE SOCIAL PENSION PROGRAM FOR INDIGENT SENIOR CITIZENS IN DAVAO CITY"
000189-14,An ordinance prescribing the rules on donations made involving real properties in favor of the City Government of Davao by directing the appropriate government agencies for appropriate action and providing remedies thereof
000094-11,"AN ORDINANCE AMENDING ORDINANCE NO. 0410-10, SERIES OF 2010, OTHERWISE KNOWN AS ""NEW DAVAO CITY TRICYCLE FOR HIRE (TFH) FRANCHISING AND REGULATORY CODE OF 2010"" PARTICULARLY SECTION 27, ARTICLE VI, FRANCHISE AND OTHER FEES, III A. (5) AND VIII A. (7), BY WAY OF REMOVING THE REQUIRED DEPARTMENT OF LABOR AND EMPLOYMENT (DOLE) CLEARANCE FROM THE SAID PROVISION"
000080-11,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO SIGN, FOR AND IN BEHALF OF THE CITY OF DAVAO, THE MEMORANDUM OF AGREEMENT TO BE ENTERED INTO BY AND AMONG THE CITY GOVERNMENT OF DAVAO, HANDICAP INTERNATIONAL, SOUTHERN PHILIPPINES MEDICAL CENTER AND THE DEPARTMENT OF HEALTH, REGION XI, RELATIVE TO THE DEVELOPMENT, IMPLEMENTATION, MONITORING AND EVALUATION OF THE  CARDIOVASCULAR DISEASE PROGRAM IN DAVAO CITY"
000269-09,"An ordinance banning the use, sale and distribution of the sugar substitute Sodium Cyclamate for Neotogen also known as  ""Magic Sugar"" among food vendors, local markets and other similar food and business outlets in Davao City and for other purposes"
000093-08,"An Ordinance providing for the sustainable  development, conservation and management of the fisheries and aquatic recources in the City of Davao, and for other purposes"
000271-12,"An Ordinance authorizing the City Mayor to enter into and sign, for and in behalf of the City Government of Davao, the Memorandum of Agreement to be entered into by and between the City Government of Davao and the Office of the Presidential Adviser on the Peace Process for the Social Integration Program (SIP), as amended"
000137-11,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO ENTER INTO AND SIGN, FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO, THE MEMORANDUM OF AGREEMENT TO BE ENTERED INTO BY AND BETWEEN THE CITY GOVERNMENT OF DAVAO AND THE DIFFERENT PARTICIPATING COLLEGES AND UNIVERSITIES, AND THE SCHOLARS/GRANTEES, RESPECTIVELY, IN THE IMPLEMENTATION OF THE SCHOLARSHIP ON TERTIARY EDUCATION PROGRAM PROVIDED UNDER EXECUTIVE ORDER NO. 19, SERIES OF 2011"
000171-11,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO ENTER INTO AND SIGN, FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO, THE REVISED MEMORANDUM OF AGREEMENT TO BE ENTERED INTO BY AND BETWEEN THE CITY GOVERNMENT OF DAVAO AND SYCIP GORRES VELAYO & CO., RELATIVE TO THE PUBLICATION OF “DOING BUSINESS IN DAVAO CITY” THAT WILL SPECIFICALLY SHOWCASE THE CITY AS A RICH SOURCE OF INVESTMENT OPPORTUNITIES FOR BOTH LOCAL AND FOREIGN INVESTORS"
000177-11,"AN ORDINANCE AMENDING ORDINANCE NO. 0132-11, SERIES OF 2011, ENTITLED, AUTHORIZING THE CITY MAYOR TO SIGN, FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO, THE MEMORANDUM OF AGREEMENT ON HOUSING CONSTRUCTION UNDER THE RESETTLEMENT ASSISTANCE PROGRAM TO BE EXECUTED BY AND BETWEEN THE LOCAL GOVERNMENT OF DAVAO CITY AND THE NATIONAL HOUSING AUTHORITY (NHA) FOR THE CONSTRUCTION OF ONE HUNDRED (100) HOUSING UNITS IN THE EXISTING LOS AMIGOS RELOCATION SITE, LOS AMIGOS, DAVAO CITY, BY AMENDING THE SAME FROM ONE HUNDRED (100) HOUSING UNITS TO TWO HUNDRED (200) HOUSING UNITS AND THE AMOUNT INVOLVED FROM TEN MILLION PESOS (P10,000,000.00) TO TWENTY MILLION PESOS (P20,000,000.00)"
000185-11,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO ENTER INTO AND SIGN, FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO, THE MEMORANDUM OF AGREEMENT TO BE ENTERED INTO BY AND BETWEEN THE CITY GOVERNMENT OF DAVAO AND OPERATION SMILE PHILIPPINES RELATIVE TO THE OPERATION SMILE PROGRAM IN DAVAO CITY"
000192-14,"An Ordinance granting authority to the City Mayor to sign, for and in behalf of the City Government of Davao, the memorandum of understanding (MOU) for a Friendship Agreement to be entered into by and between the City Government of Davao, Republic of the Philippines and the City Government of Geumsan County, South Korea, as amended"
000193-11,"AN ORDINANCE AMENDING CERTAIN PROVISIONS OF ORDINANCE NO. 514, SERIES OF 1985, RECONSTITUTING THE MEMBERSHIP OF THE DAVAO CITY RECREATION CENTER (DCRC) BOARD OF TRUSTEES, DEFINING ITS POWERS AND FUNCTIONS"
000178-11,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO ENTER INTO AND SIGN,  FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO,  THE MEMORANDUM OF AGREEMENT RELATIVE TO THE MINDANAO SCIENCE AND TECHNOLOGY PARK CONSORTIUM (MSTPC) TO BE ENTERED INTO BY THE CITY GOVERNMENT OF DAVAO WITH VARIOUS NATIONAL AND LOCAL GOVERNMENT AGENCIES AND PRIVATE ENTITIES"
000181-11,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO ENTER INTO AND SIGN,  FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO,  THE MEMORANDUM OF AGREEMENT  TO BE ENTERED INTO BY AND BETWEEN THE CITY GOVERNMENT OF DAVAO AND THE NATIONAL STATISTICS OFFICE (NSO) CONCERNING THE PHILIPPINE CIVIL REGISTRY INFORMATION SYSTEM (PHILCRIS)"
000270-15,"An ordinance further amending Ordinance No. 0387-12, Series of 2012, otherwise known as the INternet Cafe Ordinance of Davao City, as amended"
000325-15,An ordinance closing off the City of Davao to mining operations
001545-74,"An Ordinance amending certain provisions of Ordinance 1, series of 1974, otherwise known as the ""Davao City Tax Ordinance  of 1974""."
000302-12,"An Ordinance amending Ordinance No. 0220-11, specifically Section 6 {c} thereof, to read as follows: from: “A separate Book of Accounts shall be maintained by the Local Government Unit” to: “ A separate Depository Accounts under Trust Fund Book of Accounts shall be maintained by the City for the purpose”"
000303-12,"An Ordinance amending the Memorandum of Agreement creating Philhealth Capitation Fund, specifically Section 8.2  thereof, to read as  follows: from: “A separate Book of Accounts shall be maintained by the City for the purpose” to: “A separate Depository Account under Trust Fund Book of Accounts shall be maintained by the City for the purpose”"
000304-12,"An Ordinance an authorizing the City Mayor to sign, for and in behalf of the City Government of Davao, the Amended Memorandum of Agreement creating the Philhealth Capitation Fund"
000312-12,"An Ordinance approving the use/utilization and/or allocation of part of the Social Housing Trust Fund balance for various needs in the implementation of the City Shelter/Housing Program, as amended"
000319-12,"An Ordinance authorizing the City Mayor to enter into and sign, for and in behalf of the City Government of Davao, the Memorandum of Agreement to be entered into by the City Government of Davao, Bangko Sentral ng Pilipinas (BSP), cooperatives and government funding institutions, DBP, and LBP for the Davao City Credit Surety Fund (DCCSF) Program"
000334-12,An Ordinance for the Comprehensive Transport and Traffic Code of Davao City
000353-12,"An Ordinance Promoting Public-Private Partnership (PPP) in the Financing, Construction, Operation and Maintenance of Local Government Infrastructure or Development Projects"
000350-12,"An Ordinance approving the Davao Investment Incentive Code of 1994, as amended"
000304-15,"An ordinance naming the unnamed street leading to Matina Golf Club as ""Emilio Escandor Street"""
000083-16,"Granting legislative auhtority to the City Mayor to sign the proposed Deed of Conveyance to be executed by the National Housing Authority (NHA) in favor of the City government of Davao covering the six (6) lots denominated as the Institutional Area of the New matina Sites and Services embraced in TCT Nos. T-224465, T-224466, T-224467, T-224470, T-224471 and T-224472"
000367-12,The New Comprehensive Anti-Smoking Ordinance of Davao City.
000388-12,"An Ordinance authorizing Cosmopolitan Funeral Homes to establish a crematorium as an additional service or business line to its current operation, located at Camus Extension, corner Abad Santos Street, this City"
000387-12,"An Ordinance further amending Ordinance No.  0227-04, series of 2004, otherwise known as “The Internet Café Ordinance of Davao City, as amended"
000056-48,This Ordinance shall be known as the Health and Sanitation Ordinance of the City of Davao.
000077-16,"An ordinance granting exemption from the payment of Mayor`s Permit Fee under Article 26, Section 221, Paragraphs A & D of the Revenue Code of 2005 of the City of Davao for Davao-based Registered Exhibitors in connection with the ""Banana Congress 2016"" on October 6-8, 2016 at SM Lanang Premier,, this city"
000420-10,"An Ordinance amending Ordinance No. 30, Series of 1988, entitled ""An Ordinance amending and revising Ordinance No. 142, Series of 1955, otherwise known as the ""Anti-nuisance Ordinance"" to be knwon as ""The Revised Anti-Nuisance Ordinance of Davao City"" defining nuisance, prohibiting the same, punishing violation thereof and for other purposes"
000336-10,An ordinance to institutionalize a Barangay Blood Donor`s Program for the City of Davao
000361-10,"An Ordinance providing for an Ecological Solid Waste Management, prohibiting certain acts and providing penalties for violations, and for other purposes"
000417-10,Older Persons Welfare Code of Davao City
000363-10,An ordinance establishing a Septage and Sewerage Management Program in Davao City
000409-10,"“The Bicycle Ordinance of Davao City"""
000356-10,"An Ordinance amending Chapter 2, Article 8, Section 57 of City Ordinance No. 158-05, Series of 2005, otherwise known as ""The 2005 Revenue Code of Davao City"""
000343-10,"AN ORDINANCE AMENDING SECTION 1, ORDINANCE NO. 3237-A, SERIES OF 1995, ENTITLED, “AN ORDINANCE AUTHORIZING THE CITY MAYOR TO SIGN, FOR AND IN BEHALF OF THE CITY OF DAVAO, THE DEED OF SALE AND FOR OTHER PURPOSES”, PARTICULARLY THE ERRONEOUS ENTRY OF THE NUMBER OF LOTS SITUATED AT SOLIMAN BLOCKS II AND III, AGDAO DISTRICT, DAVAO CITY FROM “30” TO “83”"
000332-10,"An ordinance amending Section 4 of Ordinance No. 30, Series of 1988, otherwise known as ""The Revised Anti-nuisance Ordinance of Davao City"""
000408-10,"An ordinance creating the Davao City Literacy Coordinating Council, defining its powers and functions, appropriating funds therefor and for other purposes"
000342-10,"An ordinance amending Sections 3 and 4 of Ordinance No. 099-08, Series of 2008, otherwise known as ""An Ordinance establishing the International Relations Board of Davao City"""
000506-13,An Ordinance mandating random drug testing in all business establishments in Davao City employing ten (10) or more employees and establishing the same as a requirement in the acquisition and renewal of business permits
000510-13,"An Ordinance authorizing the City Mayor to enter into and sign, for and in behalf of the City Government of Davao, the Memorandum of Agreement to be entered into by and among the Jollibee Group Foundation, Inc.,  Local Government Unit-Davao City, area implementing partners,  local implementing partners and sub-local implementing partners relative to the in-school feeding initiative dubbed “Busog, Lusog, Talino” Program"
000512-13,"An Ordinance ratifying the provisions of R.A. 10172, An Act Amending R.A. 9048, the Clerical Error Law and its Implementing Rules and Regulations (A.O. No. 1, Series of 2002) and further amending the provisions of the 2005 Revenue Code of Davao City"
000285-15,"An ordinance authorizing City Mayor Rodrigo R. Duterte for and in behalf of the City Government of Davao, to enter into a Memorandum of Understanding with the Department of Labor and Employment (DOLE), for the full implementation of ""Jobstart Philippines Program"" in Davao City"
000132-11,"AN ORDINANCE  AUTHORIZING THE HONORABLE CITY MAYOR TO SIGN, FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO,  THE MEMORANDUM OF AGREEMENT ON HOUSING CONSTRUCTION UNDER THE RESETTLEMENT ASSISTANCE PROGRAM TO BE EXECUTED BY AND BETWEEN THE LOCAL GOVERNMENT OF DAVAO CITY AND THE NATIONAL HOUSING AUTHORITY (NHA),  FOR THE CONSTRUCTION OF ONE HUNDRED (100) HOUSING UNITS IN THE EXISTING LOS AMIGOS RELOCATION SITE,  LOS AMIGOS,  DAVAO CITY"
000133-11,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO ENTER INTO AND SIGN, FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO, THE MEMORANDUM OF AGREEMENT WITH THE DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT (DSWD), FOR THE IMPLEMENTATION OF THE SUPPLEMENTARY FEEDING PROGRAM"
000170-11,An Ordinance for the manadatory supervised daily toothbrush drill for children under the Early Childhood Care and Development Programof Davao City
000179-11,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO ENTER INTO AND SIGN,  FOR AND IN BEHALF OF THE CITY GOVERNMENT OF DAVAO,  THE AMENDED MEMORANDUM OF AGREEMENT BETWEEN THE CITY GOVERNMENT OF DAVAO AND THE DEPARTMENT OF EDUCATION FOR THE PROJECT ENTITLED, “SA PAARALAN KO PWEDE NG MAGREHISTRO”"
000227-09,AN ORDINANCE CREATING THE DAVAO CITY JAPANESE HERITAGE SITE DEVELOPMENT COUNCIL DEFINING ITS POWERS AND FUNCTIONS AND FOR OTHER PURPOSES
000435-10,Ordinance regulating the construction and maintenance of cellular towers for mobile phone services in Davao City
000010-10,"AN ORDINANCE AMENDING ARTICLE 23-A RULE VII OF ORDINANCE NO. 2269-A, SERIES OF 1994, AS AMENDED BY ORDINANCE NO. 4603-A, SERIES OF 1997 AND ORDINANCE NO. 36, SERIES OF 1999, OTHERWISE KNOWN AS ""THE RULES AND REGULATIONS IMPLEMENTING THE DAVAO CITY INVESTMENT INCENTIVE CODE, AS AMENDED, AND FOR RELATED PURPOSES"" FOR THE CREATION OF THE DAVAO CITY INVESTMENT PROMOTIONS CENTER (DCIPC) UNDER THE CITY MAYOR`S  OFFICE"
000447-10,"An Ordinance requiring restaurants, fast food chains, eateries, food stalls in moviehouses, school or university canteens and other food establishments which serve ""Halal"" foods to acquire halal accreditation form the Davao City Muslim Ulama Halal Certifying and Monitoring Agency, prior to the posting of the word ""Halal"" within their premises or to use the ""Halal"" logo in their business name"
000448-10,An Ordinance providing for the Mandatory Representation for Indigenous Peoples in the City Council of Davao and providing funds therefor
000020-10,"AN ORDINANCE AUTHORIZING THE CITY MAYOR TO IMPLEMENT THE ADJUSTED RATES OF SPECIAL COUNSEL ALLOWANCE PAID TO LAWYER-PERSONNEL INCLUDING THOSE DESIGNATED TO ASSUME THE DUTIES OF A LEGAL OFFICER AND THOSE IN THE LEGAL STAFF OF DEPARTMENTS, BUREAUS, AND OFFICES IN THE CITY GOVERNMENT OF DAVAO EFFECTIVE JANUARY 2010 ON THE BASIS OF SECTION 52 OF REPUBLIC ACT NO. 9970 OR THE GENERAL APPROPRIATIONS ACT OF FISCAL YEAR 2010 (GAA FY 2010)"
000019-10,AN ORDINANCE AUTHORIZING THE CITY MAYOR TO IMPLEMENT THE NEW RATES OF REPRESENTATION AND TRANSPORTATION ALLOWANCES (RATA) OF THE SANGGUNIANG PANLUNGSOD (SP) MEMBERS AND CITY GOVERNMENT DEPARTMENT HEAD II (CGDH II) OF THE CITY GOVERNMENT OF DAVAO EFFECTIVE JANUARY 2010 ON THE BASIS OF REPUBLIC ACT NO. 9970 (RA 9970) OR THE GENERAL APPROPRIATIONS ACT OF FISCAL YEAR 2010 (GAA FY 2010) AND TO COLLECT THE DIFFERENCE OF P200.00 PER MONTH CHARGEABLE AGAINST THE LUMPSUM MISCELLANEOUS PERSONNEL BENEFITS FUND
000294-12,"An Ordinance amending Resolution No. 01966-12 and its corresponding Ordinance No. 0287-12, both series of 2012, by changing the name of the event from “Davao City International Film Festival” to “Sineng Pambansa National Film Festival”  and the date from June 25-29, 2012 to June 29 - July 03, 2012"
000295-12,"An Ordinance amending Resolution No. 01967-12 and its corresponding Ordinance  0288-12 ,both series of 2012, granting exemption from the payment of amusement tax on the proceeds of the screenings as stated in the Memorandum of Agreement by changing the name of the event and date from ""Davao City International Film Festival"" to ""Sineng Pambansa National Film Festival"", and from ""June 25-29, 2012"" to June 29-July 3, 12012,"" respectively"
000078-16,"An ordinance authorizing the City Mayor to enroll the City Government of Davao in Landmark of the Philippines ""weAccess"""
000391-12,An Ordinance creating the Davao City Public Employment Service Office (DC-PESO) and Integrating it as one division under the City Mayor`s Office
000390-12,"An Ordinance amending Chapter 5, Article 7-Cemetery Charges, particularly Sections 298-313 of the 2005 Revenue Code of Davao City"
