OR,OT
000547-16,"An Ordinance granting authority to the City Mayor to accept and sign, for and in behalf of the City Government of Davao, the Deed of Donation to be executed by Alsons Development and Investment Corporation in favor of the City Government of Davao relative to the building for Police Sub-Station and 911 Satellite Station on Lot 1415-A-1-A-4 located in Barangay Cabantian, Buhangin District, Davao City; building for the Fire Station on Lot 1415-A-1-6 located in Barangay Cabantian, Buhangin District, Davao City; and one (1) unit Toyota Hi-Ace Commuter Ambulance for the use of the 911 Satellite Station"
000548-16,"An ordinance prescribing the functions of the Davao City Treatment and Rehabilitation Center for Drug Dependents, imposing fee/s and for other purposes"
000550-16,"An ordinance designating names in the streets of Teachers Village, Calinan Poblacion,Calinan District this city."
000552-16,An ordinance granting legislative authority to the City Mayor to enter into and sign the Deed of Donation executed by Heavenly Culture World Peace Restoration of Light (HWPL) in favor of the City Government of Davao relative to one (1) unit led game TV for the use of Museo Dabawenyo
000554-16,"An ordinance accepting the Deed of Donation of several parcels of land executed by Kisan Lu Realty, Inc., represented by Arch. Kristin L. Lu, President and CEO, in favor of the City Government of Davao, involving road lots and open spaces of Villa Kareena Subdivision located in Barangay Baliok, Talomo District, this city, and authorizing the City Mayor to sign the same for and in behalf of the City Government of Davao"
000067-00,"Amending Ordinance No. 2597, series of 1995, exempting from its coverage cement mixers actually used in government construction projects in the City of Davao"
000066-00,"Amending Ordinance No. 568, series of 1992, otherwise known as the ""Anti-Pornographic Ordinance of the City of Davao"""
000069-00,"Requiring the putting up of signboards/billboards containing   the official business addresses of contractors, subcontractors and project managers in addition to the requisite information determined under PD 1096 otherwise known as the ""National Bldg. Code"" in all construction sites of privately-owned buildings and other constructions within the City of Davao"
000078-00,"Ordinance approving the ""Health and Sanitation Ordinance of the City of Davao"""
000074-00,"Amending Ordinance No. 230, series of 1991 otherwise known as the Local Tax Code of Davao City, specifically Section 4 ""Administrative Provisions"" of Article 13 - Amusement Tax on Admission, by adding a new provision to be known as ""(a-1) - Filing of performance bonds, forfeiture thereof"""
000192-04,Requiring all business establishments with fixed places of business operations or addresses to register and secure a business registration and identification plates and yearly validation stickers
000084-00,Defining the quasi-judicial powers of the Sangguniang Panlungsod and prescribing rules and procedures in the administration of complaints against elective barangay officials
000086-00,Enacting  the Red Tide Monitoring and Quarantine Ordinance of Davao City
000092-00,"Regulating the construction, repair, renovation, erection, installation and maintenance of outdoor advertising materials  and for related purposes, otherwise known as the ""SIGNAGE ORDINANCE OF DAVAO CITY"""
000099-00,Ordinance institutionalizing the City Human Rights Action Center and to prescribe rules and guidelines for the establishment and operationalization of Human Rights Action Centers in each and every barangay of Davao City
000095-00,"Requiring all food establishments such as, but not limited to, restaurants, canteens, food outlets, hotels, caterers and hospitals as well as food manufacturers or processors to use only iodized salt"
000106-00,Prescribing guidelines and regulations on the operation and services of Internet Cafes in Davao City and for other purposes
000108-00,Implementing a Public Utility Rerouting Scheme for the City of Davao and for other purposes
000113-01,"Ordinance amending further the Organizational Structure and Staffing Pattern of the City Government of Davao approved under Ordinance No. 2374, series of 1994, and for other purposes (Creaton of a Committee on Decorum and Investigation (CODI) in every office in public and private sectors for the purpose of investigating cases of sexual harassment and job discrimination)"
000117-01,Providing for a Water Resource Management and Protection Code of Davao City and for other purposes
000130-01,"Providing guidelines for the establishment of a wholesale fish auction center or ""Fish Bagsakan"" in Davao City as well as its registration and licensing and for related purposes"
000133-01,Mandating and regulating the creation of a Committee on Decorum and Investigation (CODI) in every office in both public and private sectors for the purpose of investigating cases of sexual harassment and job discrimination
000134-01,"Amending Section 1 of Ordinance No. 2597, series of 1995, entitled ""AN ordinance banning the entry of cargo/hauling trucks in certain streets of the city of Davao during specific hours of the day and for other purposes"" by enlarging the coverage of its prohibition"
000137-01,"Granting amnesty to dog owners for failure to comply with the provisions of Article 27, Section 2 of Ordinance No. 008, series of 1998, otherwise known as the Local Tax Code of Davao City, as amended, and to waive the fees imposed in said provision thereafter for one (1) year"
005118-97,"Authorizing the Hon. City Mayor, to engage and contract for the services of a private sector management  organization and financial advisor for the Davao Economic Zonees"
000468-15,"An Ordinance requiring senior citizens, persons with disability (PWDs), and minors or persons below eighteen (18) years of age to mandatorily wear lifejackets, by Vessel Operators or Vessel Captains, while on board Vessels, and providing penalties for violation thereof"
000469-15,"An Ordinance prohibiting all persons , entities, and business establishments in Davao City to charge any fee to senior citizens and persons with disability, for the use of any restroom or comfort room, and providing penalties for violation thereof"
000478-16,"An Ordinance authorizing the City Mayor to enter into and sign, for and in behalf of the City Government of Davao, the Sister City Agreement to be entered into by and between the City of Davao and the City of Bacoor"
000442-15,"An Ordinance naming and designating the health facility in Barangay Tibungco as ""City Government of Davao Tibungco Lying-in""."
000440-15,"An Ordinance amending Ordinance No. 0408-10, Series of 2010, otherwise kniown as ""An Ordinance creating the Davao City Literacy Coordinating Council, defining its power and functions, appropriating funds therefor, and for other purposes""."
000462-15,Enacting an Ordinance naming the road from Crossing Buhangin to Barangays Tigatto and Mandug as Manuel M. Garcia Road
000463-15,An Ordinance renaming the portion of Tulip Drive from McArthur Highway to Quimpo Boulevard as Carlos L. Villa-Abrille Drive
000467-15,"An Ordinance amending Article 9 (A) (X) of Ordinance No. 0310-07, Series of 2007, known as the Watershed Protection, Conservation and Management Ordinance hereinafter referred to as the Watershed Code"
000480-16,"An ordinance granting authority to the City Mayor to accept and sign, for and in behalf of the City Government of Davao, the Deed of Donation to be executed by Lourdes Afable Castillo, in favor of the City Government of Davao relative to Lot 145-B-4, a road lot in Barangay Eden, Toril, this city, covered by Transfer Certificate of title No. 146-T-55183"
000484-16,An ordinance naming and designating the birthing facility inside Bunawan Health Center as City Government of Davao Bunawan Lying-In
000486-16,"An Ordinance enjoining all individuals, private and public offices or entities to use ""Kagan"" not ""Kalagan"" in their files, data, records and other documents when referring to the Kagan Tribe as defined in this Act, for publication, public display, public use and for other purposes and to correct all their existing files, data, records, and other documents to reflect the tribe`s name as ""Kagan"" not ""Kalagan"""
000491-16,"An Ordinance specifying and allocating the tax sharing on the remaining seventy percent (70%) of the local business tax of Therma South Inc. (TSI) between Davao City and the Municipality of Sta. Cruz, Davao del Sur, at  60%-40% in favor of Davao City"
000492-16,"An Ordinance granting legislative authority to the City Mayor to  sign for and in behalf of the City Government of Davao,  the Memorandum of Agreement to be entered into by and among Therma South Inc.,  the City  of Davao and the Municipality of Sta. Cruz, Davao del Sur, on the sharing and distribution of local taxes"
000493-16,"An Ordinance specifying and allocating the tax sharing on the remaining seventy percent (70%) of the local business tax being paid by Black & Veatch (BVIP), Contractor/Service Provider of Therma South Inc. (TSI), between Davao City and the Municipality of Sta. Cruz, Davao del Sur, which is 66.6%-33.3% in favor of Davao City"
000497-16,"An Ordinance granting legislative authority to the City Mayor to enter into and sign, for and in behalf of the City Government of Davao, the Memorandum of Agreement to be entered into by and between the City Government of Davao and Davies Paints Philippines, Inc., relative to the painting of roadside, center island railings, and pedestrian overpasses located within the territorial jurisdiction of Davao City"
000309-15,"An ordinance granting legislative authority to City Mayor Rodrigo R. Duterte to enter into and sign for and in behalf of the City Government of Davao the Memorandum of Agreement between Magnolia, Inc. and the City Government of Davao to renew its partnership for a collaborative undertaking in featuring the Mangosteen fruit, the seal and the slogans of the City of Davao, as well as some selected tourist spots"
000322-15,"An ordinance authorizing the City Mayor to sign for and in behalf of the City Government of Davao, the Memorandum of Agreement to be entered into by and between the National Development Company (NDC) and the City Government of Davao relative to the establishment of Agri-Pinoy Trading Center (APTC)"
000323-15,"An ordinance granting legislative authority to City Mayor, Rodrigo R. Duterte, to  enter into and sign for and in behalf of the City Government of Davao, the Memorandum of Understanding (MOU) to be entered into by and between the University of the Philippines (UP) and the City Government of Davao relative to the intention of both parties to establish a sports complex at the former`s Mintal Campus"
000395-15,"An Ordinance for the one-way vehicular traffic of Toril Public Market Main Road, Road 1, Road 2, Road 3, and Lao Street (corner Main Road to Agton Street), Toril Poblacion, this City"
000366-15,An ordinance naming the mini-park located at J.P. Laurel Street corner Dakudao Avenue beside the Buhangin Flyover as Carmen Marfori Soriano Park
000378-15,"An ordinance requiring businesses and establishments in Davao City which offer ""Halal"" products and services to acquire hlal certification from the National Commission for Muslim Filipinos (NCMF) accredited certifying bodies, prior to the posting of the word ""Halal"" within their premisees or to use the ""Halal"" logo in their business name"
000029-07,AN ORDINANCE PRESCRIBING GUIDELINES IN THE REGISTRATION OF BUSINESS ESTABLISHMENTS WITH FOREIGN NATIONALS IN DAVAO CITY AND FOR OTHER PURPOSES
000040-07,"An Ordinance fixing the schedule of fair market values of real properties within the territorial jurisdiction of Davao City, for the 2008 General Revision which shall take effect in the year 2009"
000415-15,An ordinance declaring the Pantatan Festival as one of the official festivals of Davao City to be celebrated every last week of October every year
005004-97,An ordinance providing for a WOMEN`S DEVELOPMENT CODE OF DAVAO CITY and for other purposes
001650-94,AN ORDINANCE REGULATING THE OPERATION OF SMALL SCALE FISHING AND COMMERCIAL FISHING WITHIN THE TERRITORIAL JURISDICTION OF DAVAO CITY WATERS AND FOR OTHER PURPOSES
001329-93,"Ordinance penalyzing recruiters, pimps, funhouse operators and customers who victimize women to commit a life of prostitution and other lewd activities"
000026-04,"Ordinance directing the City Treasurer to compute, assess, demand and collect from the Davao City Water District (DCWD) and all other national government agencies including government-owned and controlled corporations (GOCCs) operating within Davao City, franchise tax and real estate tax due to the City Government of Davao in accordance with R. A. 7160, otherwise known as the Local Government Code of 1991"
